id,reference,name,locality,country,altitude,wikipedia,country_code,latitude,longitude
54,phoenix,Phoenix street circuit,Phoenix,USA,345,https://en.wikipedia.org/wiki/Phoenix_street_circuit,USA,33.4479,-112.075
51,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,37,https://en.wikipedia.org/wiki/Circuito_de_Jerez,ESP,36.7083,-6.03417
28,lemans,Le Mans,Le Mans,France,67,https://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,FRA,47.95,0.224231
4,bremgarten,Circuit Bremgarten,Bern,Switzerland,551,https://en.wikipedia.org/wiki/Circuit_Bremgarten,CHE,46.9589,7.40194
55,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,228,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,FRA,46.8642,3.16361
15,boavista,Circuito da Boavista,Oporto,Portugal,28,https://en.wikipedia.org/wiki/Circuito_da_Boavista,PRT,41.1705,-8.67325
44,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,13,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,CAN,45.5,-73.5228
53,suzuka,Suzuka Circuit,Suzuka,Japan,45,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,JPN,34.8431,136.541
69,americas,Circuit of the Americas,Austin,USA,161,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,USA,30.1328,-97.6411
35,ricard,Circuit Paul Ricard,Le Castellet,France,432,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,FRA,43.2506,5.79167
26,charade,Charade Circuit,Clermont-Ferrand,France,790,https://en.wikipedia.org/wiki/Circuit_de_Charade,FRA,45.7472,3.03889
76,miami,Miami International Autodrome,Miami,USA,0,https://en.wikipedia.org/wiki/Miami_International_Autodrome,USA,25.9581,-80.2389
9,pedralbes,Circuit de Pedralbes,Barcelona,Spain,85,https://en.wikipedia.org/wiki/Pedralbes_Circuit,ESP,41.3903,2.11667
18,monsanto,Monsanto Park Circuit,Lisbon,Portugal,158,https://en.wikipedia.org/wiki/Circuito_de_Monsanto,PRT,38.7197,-9.20306
27,kyalami,Kyalami,Midrand,South Africa,1460,https://en.wikipedia.org/wiki/Kyalami,ZAF,-25.9894,28.0767
25,zeltweg,Zeltweg,Styria,Austria,676,https://en.wikipedia.org/wiki/Zeltweg_Air_Base,AUT,47.2039,14.7478
77,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,642,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,USA,36.1147,-115.173
65,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,18,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,SGP,1.2914,103.864
33,hockenheimring,Hockenheimring,Hockenheim,Germany,103,https://en.wikipedia.org/wiki/Hockenheimring,DEU,49.3278,8.56583
16,ain-diab,Ain Diab,Casablanca,Morocco,19,https://en.wikipedia.org/wiki/Ain-Diab_Circuit,MAR,33.5786,-7.6875
11,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,6,https://en.wikipedia.org/wiki/Circuit_Zandvoort,NLD,52.3888,4.54092
41,long_beach,Long Beach,California,USA,12,"https://en.wikipedia.org/wiki/Long_Beach,_California",USA,33.7651,-118.189
48,dallas,Fair Park,Dallas,USA,139,https://en.wikipedia.org/wiki/Fair_Park,USA,32.7774,-96.7587
47,detroit,Detroit Street Circuit,Detroit,USA,177,https://en.wikipedia.org/wiki/Detroit_street_circuit,USA,42.3298,-83.0401
68,buddh,Buddh International Circuit,Uttar Pradesh,India,194,https://en.wikipedia.org/wiki/Buddh_International_Circuit,IND,28.3487,77.5331
71,baku,Baku City Circuit,Baku,Azerbaijan,-7,https://en.wikipedia.org/wiki/Baku_City_Circuit,AZE,40.3725,49.8533
46,las_vegas,Las Vegas Street Circuit,Nevada,USA,639,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit,USA,36.1162,-115.174
64,valencia,Valencia Street Circuit,Valencia,Spain,4,https://en.wikipedia.org/wiki/Valencia_Street_Circuit,ESP,39.4589,-0.331667
38,zolder,Zolder,Heusden-Zolder,Belgium,36,https://en.wikipedia.org/wiki/Circuit_Zolder,BEL,50.9894,5.25694
75,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,15,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,SAU,21.6319,39.1044
60,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18,https://en.wikipedia.org/wiki/Sepang_International_Circuit,MYS,2.76083,101.738
50,adelaide,Adelaide Street Circuit,Adelaide,Australia,58,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,AUS,-34.9272,138.617
45,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,37,https://en.wikipedia.org/wiki/Imola_Circuit,ITA,44.3439,11.7167
52,hungaroring,Hungaroring,Budapest,Hungary,264,https://en.wikipedia.org/wiki/Hungaroring,HUN,47.5789,19.2486
74,losail,Losail International Circuit,Al Daayen,Qatar,12,https://en.wikipedia.org/wiki/Lusail_International_Circuit,QAT,25.49,51.4542
63,istanbul,Istanbul Park,Istanbul,Turkey,130,https://en.wikipedia.org/wiki/Istanbul_Park,TUR,40.9517,29.405
20,riverside,Riverside International Raceway,California,USA,470,https://en.wikipedia.org/wiki/Riverside_International_Raceway,USA,33.937,-117.273
30,jarama,Jarama,Madrid,Spain,609,https://en.wikipedia.org/wiki/Circuito_del_Jarama,ESP,40.6171,-3.58558
73,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,108,https://en.wikipedia.org/wiki/Algarve_International_Circuit,PRT,37.227,-8.6267
59,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10,https://en.wikipedia.org/wiki/Albert_Park_Circuit,AUS,-37.8497,144.968
21,watkins_glen,Watkins Glen,New York State,USA,485,https://en.wikipedia.org/wiki/Watkins_Glen_International,USA,42.3369,-76.9272
49,estoril,Autódromo do Estoril,Estoril,Portugal,130,https://en.wikipedia.org/wiki/Circuito_do_Estoril,PRT,38.7506,-9.39417
67,yeongam,Korean International Circuit,Yeongam County,Korea,0,https://en.wikipedia.org/wiki/Korea_International_Circuit,KOR,34.7333,126.417
43,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,1126,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,BRA,-22.9756,-43.395
72,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,255,https://en.wikipedia.org/wiki/Mugello_Circuit,ITA,43.9975,11.3719
58,okayama,Okayama International Circuit,Okayama,Japan,266,https://en.wikipedia.org/wiki/Okayama_International_Circuit,JPN,34.915,134.221
42,fuji,Fuji Speedway,Oyama,Japan,583,https://en.wikipedia.org/wiki/Fuji_Speedway,JPN,35.3717,138.927
12,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,8,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez,ARG,-34.6943,-58.4593
14,pescara,Pescara Circuit,Pescara,Italy,129,https://en.wikipedia.org/wiki/Pescara_Circuit,ITA,42.475,14.1508
2,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7,https://en.wikipedia.org/wiki/Circuit_de_Monaco,MCO,43.7347,7.42056
1,silverstone,Silverstone Circuit,Silverstone,UK,153,https://en.wikipedia.org/wiki/Silverstone_Circuit,GBR,52.0786,-1.01694
5,spa,Circuit de Spa-Francorchamps,Spa,Belgium,401,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,BEL,50.4372,5.97139
19,sebring,Sebring International Raceway,Florida,USA,18,https://en.wikipedia.org/wiki/Sebring_International_Raceway,USA,27.4547,-81.3483
13,aintree,Aintree,Liverpool,UK,20,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,GBR,53.4769,-2.94056
37,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,785,https://en.wikipedia.org/wiki/Interlagos_Circuit,BRA,-23.7036,-46.6997
23,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2227,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,MEX,19.4042,-99.0907
22,george,Prince George Circuit,Eastern Cape Province,South Africa,15,https://en.wikipedia.org/wiki/Prince_George_Circuit,ZAF,-33.0486,27.8736
56,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,109,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,ESP,41.57,2.26111
57,donington,Donington Park,Castle Donington,UK,88,https://en.wikipedia.org/wiki/Donington_Park,GBR,52.8306,-1.37528
3,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,223,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,USA,39.795,-86.2347
17,avus,AVUS,Berlin,Germany,53,https://en.wikipedia.org/wiki/AVUS,DEU,52.4806,13.2514
40,dijon,Dijon-Prenois,Dijon,France,484,https://en.wikipedia.org/wiki/Dijon-Prenois,FRA,47.3625,4.89913
70,sochi,Sochi Autodrom,Sochi,Russia,2,https://en.wikipedia.org/wiki/Sochi_Autodrom,RUS,43.4057,39.9578
