id,number,name,date,race_number,wikipedia,is_cancelled,circuit_id,season_id
68,4,Indianapolis 500,1958-05-30,68,https://en.wikipedia.org/wiki/1958_Indianapolis_500,f,3,9
69,5,Belgian Grand Prix,1958-06-15,69,https://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,f,5,9
70,6,French Grand Prix,1958-07-06,70,https://en.wikipedia.org/wiki/1958_French_Grand_Prix,f,6,9
71,7,British Grand Prix,1958-07-19,71,https://en.wikipedia.org/wiki/1958_British_Grand_Prix,f,1,9
72,8,German Grand Prix,1958-08-03,72,https://en.wikipedia.org/wiki/1958_German_Grand_Prix,f,8,9
73,9,Portuguese Grand Prix,1958-08-24,73,https://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,f,15,9
74,10,Italian Grand Prix,1958-09-07,74,https://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,f,7,9
75,11,Moroccan Grand Prix,1958-10-19,75,https://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,f,16,9
76,1,Monaco Grand Prix,1959-05-10,76,https://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,f,2,10
77,2,Indianapolis 500,1959-05-30,77,https://en.wikipedia.org/wiki/1959_Indianapolis_500,f,3,10
78,3,Dutch Grand Prix,1959-05-31,78,https://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,f,11,10
79,4,French Grand Prix,1959-07-05,79,https://en.wikipedia.org/wiki/1959_French_Grand_Prix,f,6,10
80,5,British Grand Prix,1959-07-18,80,https://en.wikipedia.org/wiki/1959_British_Grand_Prix,f,13,10
81,6,German Grand Prix,1959-08-02,81,https://en.wikipedia.org/wiki/1959_German_Grand_Prix,f,17,10
82,7,Portuguese Grand Prix,1959-08-23,82,https://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,f,18,10
83,8,Italian Grand Prix,1959-09-13,83,https://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,f,7,10
84,9,United States Grand Prix,1959-12-12,84,https://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,f,19,10
85,1,Argentine Grand Prix,1960-02-07,85,https://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,f,12,11
86,2,Monaco Grand Prix,1960-05-29,86,https://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix,f,2,11
87,3,Indianapolis 500,1960-05-30,87,https://en.wikipedia.org/wiki/1960_Indianapolis_500,f,3,11
88,4,Dutch Grand Prix,1960-06-06,88,https://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix,f,11,11
89,5,Belgian Grand Prix,1960-06-19,89,https://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,f,5,11
90,6,French Grand Prix,1960-07-03,90,https://en.wikipedia.org/wiki/1960_French_Grand_Prix,f,6,11
91,7,British Grand Prix,1960-07-16,91,https://en.wikipedia.org/wiki/1960_British_Grand_Prix,f,1,11
92,8,Portuguese Grand Prix,1960-08-14,92,https://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix,f,15,11
93,9,Italian Grand Prix,1960-09-04,93,https://en.wikipedia.org/wiki/1960_Italian_Grand_Prix,f,7,11
94,10,United States Grand Prix,1960-11-20,94,https://en.wikipedia.org/wiki/1960_United_States_Grand_Prix,f,20,11
95,1,Monaco Grand Prix,1961-05-14,95,https://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix,f,2,12
96,2,Dutch Grand Prix,1961-05-22,96,https://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix,f,11,12
97,3,Belgian Grand Prix,1961-06-18,97,https://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,f,5,12
98,4,French Grand Prix,1961-07-02,98,https://en.wikipedia.org/wiki/1961_French_Grand_Prix,f,6,12
99,5,British Grand Prix,1961-07-15,99,https://en.wikipedia.org/wiki/1961_British_Grand_Prix,f,13,12
100,6,German Grand Prix,1961-08-06,100,https://en.wikipedia.org/wiki/1961_German_Grand_Prix,f,8,12
101,7,Italian Grand Prix,1961-09-10,101,https://en.wikipedia.org/wiki/1961_Italian_Grand_Prix,f,7,12
102,8,United States Grand Prix,1961-10-08,102,https://en.wikipedia.org/wiki/1961_United_States_Grand_Prix,f,21,12
103,1,Dutch Grand Prix,1962-05-20,103,https://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix,f,11,13
104,2,Monaco Grand Prix,1962-06-03,104,https://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix,f,2,13
105,3,Belgian Grand Prix,1962-06-17,105,https://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix,f,5,13
106,4,French Grand Prix,1962-07-08,106,https://en.wikipedia.org/wiki/1962_French_Grand_Prix,f,10,13
107,5,British Grand Prix,1962-07-21,107,https://en.wikipedia.org/wiki/1962_British_Grand_Prix,f,13,13
108,6,German Grand Prix,1962-08-05,108,https://en.wikipedia.org/wiki/1962_German_Grand_Prix,f,8,13
109,7,Italian Grand Prix,1962-09-16,109,https://en.wikipedia.org/wiki/1962_Italian_Grand_Prix,f,7,13
110,8,United States Grand Prix,1962-10-07,110,https://en.wikipedia.org/wiki/1962_United_States_Grand_Prix,f,21,13
111,9,South African Grand Prix,1962-12-29,111,https://en.wikipedia.org/wiki/1962_South_African_Grand_Prix,f,22,13
112,1,Monaco Grand Prix,1963-05-26,112,https://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix,f,2,14
113,2,Belgian Grand Prix,1963-06-09,113,https://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,f,5,14
114,3,Dutch Grand Prix,1963-06-23,114,https://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix,f,11,14
115,4,French Grand Prix,1963-06-30,115,https://en.wikipedia.org/wiki/1963_French_Grand_Prix,f,6,14
116,5,British Grand Prix,1963-07-20,116,https://en.wikipedia.org/wiki/1963_British_Grand_Prix,f,1,14
117,6,German Grand Prix,1963-08-04,117,https://en.wikipedia.org/wiki/1963_German_Grand_Prix,f,8,14
118,7,Italian Grand Prix,1963-09-08,118,https://en.wikipedia.org/wiki/1963_Italian_Grand_Prix,f,7,14
119,8,United States Grand Prix,1963-10-06,119,https://en.wikipedia.org/wiki/1963_United_States_Grand_Prix,f,21,14
120,9,Mexican Grand Prix,1963-10-27,120,https://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix,f,23,14
121,10,South African Grand Prix,1963-12-28,121,https://en.wikipedia.org/wiki/1963_South_African_Grand_Prix,f,22,14
122,1,Monaco Grand Prix,1964-05-10,122,https://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix,f,2,15
123,2,Dutch Grand Prix,1964-05-24,123,https://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix,f,11,15
124,3,Belgian Grand Prix,1964-06-14,124,https://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix,f,5,15
125,4,French Grand Prix,1964-06-28,125,https://en.wikipedia.org/wiki/1964_French_Grand_Prix,f,10,15
126,5,British Grand Prix,1964-07-11,126,https://en.wikipedia.org/wiki/1964_British_Grand_Prix,f,24,15
127,6,German Grand Prix,1964-08-02,127,https://en.wikipedia.org/wiki/1964_German_Grand_Prix,f,8,15
128,7,Austrian Grand Prix,1964-08-23,128,https://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix,f,25,15
129,8,Italian Grand Prix,1964-09-06,129,https://en.wikipedia.org/wiki/1964_Italian_Grand_Prix,f,7,15
130,9,United States Grand Prix,1964-10-04,130,https://en.wikipedia.org/wiki/1964_United_States_Grand_Prix,f,21,15
131,10,Mexican Grand Prix,1964-10-25,131,https://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix,f,23,15
132,1,South African Grand Prix,1965-01-01,132,https://en.wikipedia.org/wiki/1965_South_African_Grand_Prix,f,22,16
133,2,Monaco Grand Prix,1965-05-30,133,https://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix,f,2,16
134,3,Belgian Grand Prix,1965-06-13,134,https://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix,f,5,16
135,4,French Grand Prix,1965-06-27,135,https://en.wikipedia.org/wiki/1965_French_Grand_Prix,f,26,16
136,5,British Grand Prix,1965-07-10,136,https://en.wikipedia.org/wiki/1965_British_Grand_Prix,f,1,16
137,6,Dutch Grand Prix,1965-07-18,137,https://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix,f,11,16
138,7,German Grand Prix,1965-08-01,138,https://en.wikipedia.org/wiki/1965_German_Grand_Prix,f,8,16
139,8,Italian Grand Prix,1965-09-12,139,https://en.wikipedia.org/wiki/1965_Italian_Grand_Prix,f,7,16
140,9,United States Grand Prix,1965-10-03,140,https://en.wikipedia.org/wiki/1965_United_States_Grand_Prix,f,21,16
141,10,Mexican Grand Prix,1965-10-24,141,https://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix,f,23,16
142,1,Monaco Grand Prix,1966-05-22,142,https://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix,f,2,17
143,2,Belgian Grand Prix,1966-06-12,143,https://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,f,5,17
144,3,French Grand Prix,1966-07-03,144,https://en.wikipedia.org/wiki/1966_French_Grand_Prix,f,6,17
145,4,British Grand Prix,1966-07-16,145,https://en.wikipedia.org/wiki/1966_British_Grand_Prix,f,24,17
146,5,Dutch Grand Prix,1966-07-24,146,https://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix,f,11,17
147,6,German Grand Prix,1966-08-07,147,https://en.wikipedia.org/wiki/1966_German_Grand_Prix,f,8,17
148,7,Italian Grand Prix,1966-09-04,148,https://en.wikipedia.org/wiki/1966_Italian_Grand_Prix,f,7,17
149,8,United States Grand Prix,1966-10-02,149,https://en.wikipedia.org/wiki/1966_United_States_Grand_Prix,f,21,17
150,9,Mexican Grand Prix,1966-10-23,150,https://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix,f,23,17
151,1,South African Grand Prix,1967-01-02,151,https://en.wikipedia.org/wiki/1967_South_African_Grand_Prix,f,27,18
152,2,Monaco Grand Prix,1967-05-07,152,https://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix,f,2,18
153,3,Dutch Grand Prix,1967-06-04,153,https://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix,f,11,18
154,4,Belgian Grand Prix,1967-06-18,154,https://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix,f,5,18
155,5,French Grand Prix,1967-07-02,155,https://en.wikipedia.org/wiki/1967_French_Grand_Prix,f,28,18
156,6,British Grand Prix,1967-07-15,156,https://en.wikipedia.org/wiki/1967_British_Grand_Prix,f,1,18
157,7,German Grand Prix,1967-08-06,157,https://en.wikipedia.org/wiki/1967_German_Grand_Prix,f,8,18
158,8,Canadian Grand Prix,1967-08-27,158,https://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix,f,29,18
159,9,Italian Grand Prix,1967-09-10,159,https://en.wikipedia.org/wiki/1967_Italian_Grand_Prix,f,7,18
160,10,United States Grand Prix,1967-10-01,160,https://en.wikipedia.org/wiki/1967_United_States_Grand_Prix,f,21,18
161,11,Mexican Grand Prix,1967-10-22,161,https://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix,f,23,18
162,1,South African Grand Prix,1968-01-01,162,https://en.wikipedia.org/wiki/1968_South_African_Grand_Prix,f,27,19
163,2,Spanish Grand Prix,1968-05-12,163,https://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix,f,30,19
164,3,Monaco Grand Prix,1968-05-26,164,https://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix,f,2,19
165,4,Belgian Grand Prix,1968-06-09,165,https://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix,f,5,19
166,5,Dutch Grand Prix,1968-06-23,166,https://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix,f,11,19
167,6,French Grand Prix,1968-07-07,167,https://en.wikipedia.org/wiki/1968_French_Grand_Prix,f,10,19
168,7,British Grand Prix,1968-07-20,168,https://en.wikipedia.org/wiki/1968_British_Grand_Prix,f,24,19
169,8,German Grand Prix,1968-08-04,169,https://en.wikipedia.org/wiki/1968_German_Grand_Prix,f,8,19
170,9,Italian Grand Prix,1968-09-08,170,https://en.wikipedia.org/wiki/1968_Italian_Grand_Prix,f,7,19
171,10,Canadian Grand Prix,1968-09-22,171,https://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix,f,31,19
172,11,United States Grand Prix,1968-10-06,172,https://en.wikipedia.org/wiki/1968_United_States_Grand_Prix,f,21,19
173,12,Mexican Grand Prix,1968-11-03,173,https://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix,f,23,19
174,1,South African Grand Prix,1969-03-01,174,https://en.wikipedia.org/wiki/1969_South_African_Grand_Prix,f,27,20
175,2,Spanish Grand Prix,1969-05-04,175,https://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix,f,32,20
176,3,Monaco Grand Prix,1969-05-18,176,https://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix,f,2,20
177,4,Dutch Grand Prix,1969-06-21,177,https://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix,f,11,20
178,5,French Grand Prix,1969-07-06,178,https://en.wikipedia.org/wiki/1969_French_Grand_Prix,f,26,20
179,6,British Grand Prix,1969-07-19,179,https://en.wikipedia.org/wiki/1969_British_Grand_Prix,f,1,20
180,7,German Grand Prix,1969-08-03,180,https://en.wikipedia.org/wiki/1969_German_Grand_Prix,f,8,20
181,8,Italian Grand Prix,1969-09-07,181,https://en.wikipedia.org/wiki/1969_Italian_Grand_Prix,f,7,20
182,9,Canadian Grand Prix,1969-09-20,182,https://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix,f,29,20
183,10,United States Grand Prix,1969-10-05,183,https://en.wikipedia.org/wiki/1969_United_States_Grand_Prix,f,21,20
184,11,Mexican Grand Prix,1969-10-19,184,https://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix,f,23,20
185,1,South African Grand Prix,1970-03-07,185,https://en.wikipedia.org/wiki/1970_South_African_Grand_Prix,f,27,21
186,2,Spanish Grand Prix,1970-04-19,186,https://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix,f,30,21
187,3,Monaco Grand Prix,1970-05-10,187,https://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix,f,2,21
188,4,Belgian Grand Prix,1970-06-07,188,https://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix,f,5,21
189,5,Dutch Grand Prix,1970-06-21,189,https://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix,f,11,21
190,6,French Grand Prix,1970-07-05,190,https://en.wikipedia.org/wiki/1970_French_Grand_Prix,f,26,21
191,7,British Grand Prix,1970-07-18,191,https://en.wikipedia.org/wiki/1970_British_Grand_Prix,f,24,21
192,8,German Grand Prix,1970-08-02,192,https://en.wikipedia.org/wiki/1970_German_Grand_Prix,f,33,21
193,9,Austrian Grand Prix,1970-08-16,193,https://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix,f,34,21
194,10,Italian Grand Prix,1970-09-06,194,https://en.wikipedia.org/wiki/1970_Italian_Grand_Prix,f,7,21
195,11,Canadian Grand Prix,1970-09-20,195,https://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix,f,31,21
196,12,United States Grand Prix,1970-10-04,196,https://en.wikipedia.org/wiki/1970_United_States_Grand_Prix,f,21,21
197,13,Mexican Grand Prix,1970-10-25,197,https://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix,f,23,21
198,1,South African Grand Prix,1971-03-06,198,https://en.wikipedia.org/wiki/1971_South_African_Grand_Prix,f,27,22
199,2,Spanish Grand Prix,1971-04-18,199,https://en.wikipedia.org/wiki/1971_Spanish_Grand_Prix,f,32,22
200,3,Monaco Grand Prix,1971-05-23,200,https://en.wikipedia.org/wiki/1971_Monaco_Grand_Prix,f,2,22
201,4,Dutch Grand Prix,1971-06-20,201,https://en.wikipedia.org/wiki/1971_Dutch_Grand_Prix,f,11,22
202,5,French Grand Prix,1971-07-04,202,https://en.wikipedia.org/wiki/1971_French_Grand_Prix,f,35,22
203,6,British Grand Prix,1971-07-17,203,https://en.wikipedia.org/wiki/1971_British_Grand_Prix,f,1,22
204,7,German Grand Prix,1971-08-01,204,https://en.wikipedia.org/wiki/1971_German_Grand_Prix,f,8,22
205,8,Austrian Grand Prix,1971-08-15,205,https://en.wikipedia.org/wiki/1971_Austrian_Grand_Prix,f,34,22
206,9,Italian Grand Prix,1971-09-05,206,https://en.wikipedia.org/wiki/1971_Italian_Grand_Prix,f,7,22
207,10,Canadian Grand Prix,1971-09-19,207,https://en.wikipedia.org/wiki/1971_Canadian_Grand_Prix,f,29,22
208,11,United States Grand Prix,1971-10-03,208,https://en.wikipedia.org/wiki/1971_United_States_Grand_Prix,f,21,22
209,1,Argentine Grand Prix,1972-01-23,209,https://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix,f,12,23
210,2,South African Grand Prix,1972-03-04,210,https://en.wikipedia.org/wiki/1972_South_African_Grand_Prix,f,27,23
211,3,Spanish Grand Prix,1972-05-01,211,https://en.wikipedia.org/wiki/1972_Spanish_Grand_Prix,f,30,23
212,4,Monaco Grand Prix,1972-05-14,212,https://en.wikipedia.org/wiki/1972_Monaco_Grand_Prix,f,2,23
213,5,Belgian Grand Prix,1972-06-04,213,https://en.wikipedia.org/wiki/1972_Belgian_Grand_Prix,f,36,23
214,6,French Grand Prix,1972-07-02,214,https://en.wikipedia.org/wiki/1972_French_Grand_Prix,f,26,23
215,7,British Grand Prix,1972-07-15,215,https://en.wikipedia.org/wiki/1972_British_Grand_Prix,f,24,23
216,8,German Grand Prix,1972-07-30,216,https://en.wikipedia.org/wiki/1972_German_Grand_Prix,f,8,23
217,9,Austrian Grand Prix,1972-08-13,217,https://en.wikipedia.org/wiki/1972_Austrian_Grand_Prix,f,34,23
218,10,Italian Grand Prix,1972-09-10,218,https://en.wikipedia.org/wiki/1972_Italian_Grand_Prix,f,7,23
219,11,Canadian Grand Prix,1972-09-24,219,https://en.wikipedia.org/wiki/1972_Canadian_Grand_Prix,f,29,23
220,12,United States Grand Prix,1972-10-08,220,https://en.wikipedia.org/wiki/1972_United_States_Grand_Prix,f,21,23
221,1,Argentine Grand Prix,1973-01-28,221,https://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix,f,12,24
222,2,Brazilian Grand Prix,1973-02-11,222,https://en.wikipedia.org/wiki/1973_Brazilian_Grand_Prix,f,37,24
223,3,South African Grand Prix,1973-03-03,223,https://en.wikipedia.org/wiki/1973_South_African_Grand_Prix,f,27,24
224,4,Spanish Grand Prix,1973-04-29,224,https://en.wikipedia.org/wiki/1973_Spanish_Grand_Prix,f,32,24
225,5,Belgian Grand Prix,1973-05-20,225,https://en.wikipedia.org/wiki/1973_Belgian_Grand_Prix,f,38,24
226,6,Monaco Grand Prix,1973-06-03,226,https://en.wikipedia.org/wiki/1973_Monaco_Grand_Prix,f,2,24
227,7,Swedish Grand Prix,1973-06-17,227,https://en.wikipedia.org/wiki/1973_Swedish_Grand_Prix,f,39,24
228,8,French Grand Prix,1973-07-01,228,https://en.wikipedia.org/wiki/1973_French_Grand_Prix,f,35,24
229,9,British Grand Prix,1973-07-14,229,https://en.wikipedia.org/wiki/1973_British_Grand_Prix,f,1,24
230,10,Dutch Grand Prix,1973-07-29,230,https://en.wikipedia.org/wiki/1973_Dutch_Grand_Prix,f,11,24
231,11,German Grand Prix,1973-08-05,231,https://en.wikipedia.org/wiki/1973_German_Grand_Prix,f,8,24
232,12,Austrian Grand Prix,1973-08-19,232,https://en.wikipedia.org/wiki/1973_Austrian_Grand_Prix,f,34,24
233,13,Italian Grand Prix,1973-09-09,233,https://en.wikipedia.org/wiki/1973_Italian_Grand_Prix,f,7,24
234,14,Canadian Grand Prix,1973-09-23,234,https://en.wikipedia.org/wiki/1973_Canadian_Grand_Prix,f,29,24
