reference,name,nationality,wikipedia
lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels
bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme
klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk
simca,Simca,French,http://en.wikipedia.org/wiki/Simca
turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor)
del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy
veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
bmw,BMW,German,http://en.wikipedia.org/wiki/BMW
emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash
sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor)
deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia
lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren
eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing)
cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra
brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM
mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing)
march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering
march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering
lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus
shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham
lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
rb,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team
